t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.026,0.617452,-0.987292,0.36984,-0.0193758,0.0990319,-0.0796561,-0.478443,-0.00491972,0.483362,0.0850769,-0.191423,0.106346,0.0657011,-0.0923912,0.0266901,1.00203,0.990601,0,0.115234,0.00561523,0.224365,-0.550781,-0.212891,-0.00366211,-0.0976563,0.00195313,0.00341797,-0.000610352,-0.00146484,0.0137939,0.0394287,-0.0158691,-0.0257568,0.0275879,-0.0272217,0.0413818,0.911865
0.028,0.954172,-0.701041,-0.253132,-0.0767856,0.106208,-0.0294225,-0.473523,-0.0897849,0.563308,0.20383,-0.239279,0.0354487,0.127045,-0.133071,0.0060262,1.00449,0.98999,0,0.108154,-0.0142822,0.197876,-0.615356,-0.205811,0.0490723,-0.0976563,0.03479,0.00244141,0.000732422,-0.00744629,-0.00292969,0.0690918,-0.0390625,-0.0506592,0.0419922,-0.0581055,0.0390625,0.911987
0.03,0.945498,-0.136423,-0.809075,-0.100467,0.0602803,0.0401868,-0.435395,-0.120533,0.555928,0.241051,-0.109891,-0.13116,0.140584,-0.0496108,-0.0909734,1.00203,1.01331,0,0.110352,-0.00720215,0.244263,-0.520142,-0.250244,-0.0430908,-0.139893,-0.050293,0.00939941,0.0178223,-0.00610352,0.00549316,0.010498,0.00341797,0.000854492,-0.00842285,-0.00524902,-0.00292969,0.912109
0.032,0.553578,0.450275,-1.00385,-0.0947261,-0.00932909,0.104055,-0.437855,-0.141442,0.579297,0.186106,0.0194968,-0.205603,0.0913797,0.0101677,-0.101547,1.0008,0.990967,0,0.117188,-0.00756836,0.24292,-0.542969,-0.207886,-0.0286865,-0.0906982,-0.0362549,0.0101318,0.0137939,-0.0133057,0.00354004,0.0146484,0.0107422,-0.0407715,0.010376,-0.0540771,0.013916,0.912231
0.034,-0.0575658,0.885567,-0.828001,-0.038034,-0.0624331,0.100467,-0.434165,-0.127913,0.562078,0.056718,0.132933,-0.189651,0.018684,0.0704996,-0.0891836,1.00121,1.01904,0,0.104614,0.00793457,0.215454,-0.535278,-0.202026,-0.0400391,-0.0974121,-0.0321045,0.0098877,-0.00634766,0.0124512,-0.0090332,0.0172119,0.0108643,-0.0255127,0.00463867,-0.0130615,-0.00439453,0.912231
0.036,-0.611932,0.995967,-0.384035,0.0337282,-0.106208,0.0724798,-0.509191,-0.185719,0.69491,-0.0886218,0.209147,-0.120526,-0.0548936,0.102939,-0.0480458,0.999161,1.00537,0,0.105103,0.00280762,0.234619,-0.541992,-0.213135,-0.0214844,-0.108032,-0.0186768,0.00439453,0.00537109,0.000732422,-0.0098877,0.0112305,-0.00390625,-0.00170898,0.0126953,-0.000976563,0.00280762,0.912231
0.038,-0.943921,0.708926,0.234994,0.0940085,-0.111231,0.0172229,-0.383738,-0.236147,0.619885,-0.180788,0.219782,-0.0389936,-0.08678,0.108551,-0.0217706,0.996293,0.991211,0,0.109009,-0.00109863,0.206543,-0.578369,-0.202881,0.0180664,-0.0938721,0.0169678,-0.00964355,0.0100098,0.00634766,-0.00976563,0.0126953,-0.0355225,-0.0107422,0.0361328,-0.00439453,0.0263672,0.912231
0.04,-0.939978,0.149829,0.790149,0.125584,-0.0667389,-0.058845,-0.382508,-0.242296,0.624804,-0.200285,0.13116,0.069125,-0.0747014,0.0644214,0.01028,0.99957,1.00378,0,0.125977,0.00439453,0.219116,-0.528564,-0.214233,-0.0302734,-0.0882568,-0.0258789,0.000976563,0.015625,0.00732422,0.0098877,-0.010376,-0.0372314,0.00610352,0.0167236,0.0134277,0.0266113,0.911987
0.042,-0.54648,-0.437658,0.984138,0.115537,0.0064586,-0.121996,-0.35914,-0.277964,0.637104,-0.189651,0.0159519,0.173699,-0.0741135,0.0224105,0.051703,0.998341,0.981812,0,0.128662,0.00708008,0.24646,-0.569946,-0.220215,0.00305176,-0.0915527,0.0101318,-0.00402832,0.00390625,0.00634766,0.00805664,0.0078125,-0.0390625,-0.0101318,0.0134277,-0.00378418,0.0214844,0.911865
0.044,0.0607201,-0.876892,0.816172,0.0516688,0.0739151,-0.125584,-0.381278,-0.247216,0.628494,-0.097484,-0.0655801,0.163064,-0.0458152,0.00833495,0.0374802,0.99957,1.00574,0,0.127686,0.0109863,0.13916,-0.582031,-0.162476,0.00146484,-0.03479,0.0124512,0.00256348,-0.0180664,0.0130615,0.00476074,0.0352783,0.0396729,-0.0322266,-0.0152588,-0.019165,-0.010498,0.911743
