t_s,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.248,0.398229,-0.349337,-0.0488915,-0.53104,0.308578,0.222463,-0.933517,-0.198019,1.13154,0.0336763,-0.877356,0.84368,-0.497364,-0.568778,1.06614,0.946724,0.429688,0,0.372559,0.33728,0.573486,-0.917114,-0.633179,0.608643,-0.26062,0.945923,0.00500488,-0.00561523,0.0196533,-0.0167236,-0.0725098,-0.109131,0.0397949,0.131836,0.0594482,0.115112,0.907837
0.25,0.435292,-0.127749,-0.307543,-0.494442,0.038034,0.456408,-0.888009,-0.264435,1.15244,0.669981,-1.04219,0.372212,0.175539,-1.00416,0.828619,0.946315,0.442139,0,0.393188,0.333008,0.687378,-0.945679,-0.769897,0.623291,-0.376709,0.956299,0.010376,0.00402832,0.0325928,-0.00195313,0.0164795,-0.0358887,-0.0541992,0.0404053,-0.0216064,0.0384521,0.908081
0.252,0.298869,0.127749,-0.426618,-0.272696,-0.300684,0.57338,-0.910148,-0.249676,1.15982,0.999654,-0.827728,-0.171926,0.726958,-1.12841,0.401454,0.949182,0.426025,0,0.436279,0.342407,0.659912,-0.974487,-0.76123,0.652588,-0.324951,0.994995,0.0130615,-0.00854492,-0.00622559,0.0214844,0.0499268,-0.0452881,-0.0777588,0.0379639,-0.0839844,0.0594482,0.908203
0.254,0.0646629,0.337509,-0.402172,0.0373164,-0.494442,0.457125,-0.988864,-0.143902,1.13277,1.08473,-0.460833,-0.623898,1.12205,-0.955275,-0.166772,0.951231,0.432129,0,0.413574,0.349365,0.554565,-0.985718,-0.668823,0.69812,-0.255249,1.04749,0.00671387,0.0032959,0.0078125,0.0308838,0.118042,0.0377197,-0.127197,-0.0605469,-0.119385,-0.0296631,0.908325
0.256,-0.183737,0.41952,-0.235783,0.386081,-0.579839,0.193758,-0.934747,-0.088555,1.0233,0.810003,0.0762147,-0.886218,1.19608,-0.503624,-0.69246,0.954098,0.425537,0,0.448853,0.356445,0.543335,-0.99707,-0.646729,0.736084,-0.197876,1.09253,0.00476074,0.0133057,0.00439453,-0.0231934,0.0964355,0.065918,-0.0871582,-0.107788,-0.0827637,-0.130981,0.908203
0.258,-0.35328,0.339875,0.0134057,0.627919,-0.459996,-0.167924,-0.848652,-0.0860951,0.934747,0.363349,0.508689,-0.872039,0.991269,0.0486933,-1.03996,0.957785,0.417603,0,0.499146,0.347046,0.431641,-0.991211,-0.515991,0.783936,-0.0168457,1.13098,-0.00292969,0.0205078,0.0345459,-0.029541,0.0267334,0.109253,0.0273438,-0.11499,0.0618896,-0.144531,0.908203
0.26,-0.396652,0.141943,0.254709,0.590603,-0.144242,-0.446361,-0.715819,-0.120533,0.836352,-0.097484,0.696567,-0.599083,0.493119,0.552325,-1.04544,0.961472,0.41333,0,0.468994,0.364868,0.383667,-0.904053,-0.453125,0.710327,0.0158691,1.0752,-0.00109863,0.0128174,0.0192871,-0.0457764,-0.048584,0.0946045,0.0992432,-0.0859375,0.11853,-0.131714,0.907959
0.262,-0.271269,-0.108034,0.379303,0.369575,0.257626,-0.627202,-0.589136,-0.225077,0.814214,-0.503372,0.654029,-0.150657,-0.133796,0.911655,-0.777859,0.963111,0.393677,0,0.536377,0.342651,0.348145,-0.876343,-0.397949,0.698608,0.138428,1.04126,-0.00683594,-0.00769043,-0.0181885,0.00354004,-0.09021,0.0446777,0.115112,-0.0178223,0.0969238,-0.0142822,0.907959
0.264,-0.0362743,-0.322526,0.3588,0.0444926,0.490854,-0.535346,-0.478443,-0.364059,0.842502,-0.661119,0.319038,0.34208,-0.616626,0.809892,-0.193266,0.962701,0.405151,0,0.498535,0.324707,0.35144,-0.814453,-0.375122,0.634888,0.123413,0.959595,-0.0140381,-0.0145264,0.0206299,0.0332031,-0.0793457,-0.0114746,0.0830078,0.032959,0.103638,0.0661621,0.907959
0.266,0.205817,-0.405326,0.199509,-0.328671,0.598497,-0.269826,-0.373899,-0.477213,0.851112,-0.485647,-0.225099,0.710747,-0.814318,0.373397,0.440921,0.959424,0.402832,0,0.516846,0.305054,0.43042,-0.795654,-0.440063,0.591919,0.0767822,0.896973,-0.00476074,-0.0106201,0.0102539,-0.00292969,-0.043457,-0.0810547,0.0324707,0.0941162,0.0427246,0.0911865,0.908081
0.268,0.37536,-0.323315,-0.0520458,-0.572662,0.511665,0.0609979,-0.301333,-0.632184,0.933517,-0.0194968,-0.664663,0.68416,-0.592159,-0.152999,0.745158,0.954917,0.410522,0,0.540405,0.239014,0.454712,-0.828125,-0.483887,0.586792,0.0565186,0.825806,0.00732422,0.00109863,0.00463867,-0.0324707,0.0322266,-0.09375,-0.0469971,0.0762939,-0.0423584,0.0438232,0.908325
0.27,0.415578,-0.119863,-0.295715,-0.650166,0.282025,0.36814,-0.259515,-0.789615,1.04913,0.547683,-0.905715,0.358032,-0.102483,-0.623689,0.726172,0.95164,0.421387,0,0.552734,0.214111,0.548218,-0.868896,-0.587646,0.601929,-0.0349121,0.81604,0.0170898,0.00549316,0.0493164,-0.0400391,0.114014,-0.0473633,-0.12085,0.0163574,-0.0715332,-0.0236816,0.908447
0.272,0.284675,0.133269,-0.417943,-0.561898,0.00789384,0.554004,-0.280424,-0.915068,1.19549,0.990792,-0.795824,-0.194968,0.428894,-0.78793,0.359036,0.949592,0.413696,0,0.556519,0.120117,0.572266,-0.96814,-0.640137,0.678223,-0.0836182,0.79834,0.00915527,-0.000610352,0.0932617,0.0202637,0.124878,0.0587158,-0.104248,-0.0811768,-0.0109863,-0.0609131,0.908691
0.274,0.0433715,0.34224,-0.385612,-0.357376,-0.329389,0.686764,-0.362829,-0.993783,1.35661,1.1769,-0.381074,-0.795824,0.819522,-0.710462,-0.109059,0.945495,0.42688,0,0.619629,0.0545654,0.605957,-1.0824,-0.691895,0.784424,-0.0722656,0.838989,0.00256348,-0.00354004,0.013916,0.0784912,0.0628662,0.15271,-0.0303955,-0.161499,-0.0164795,-0.0830078,0.908813
0.276,-0.192412,0.426618,-0.234206,-0.0215287,-0.5131,0.534628,-0.475983,-1.08726,1.56324,1.01915,0.242824,-1.26197,0.997622,-0.270276,-0.727346,0.943037,0.415039,0,0.601196,0.0673828,0.666626,-1.19861,-0.741821,0.87854,-0.140625,0.945923,-0.0168457,0.00634766,0.0012207,0.0925293,-0.0777588,0.146606,0.106567,-0.155884,0.107788,-0.0633545,0.908813
0.278,-0.365897,0.343029,0.0228686,0.35307,-0.604955,0.251885,-0.53379,-0.980254,1.51404,0.475013,0.854314,-1.32933,0.828083,0.249359,-1.07744,0.941399,0.421021,0,0.617676,-0.0223389,0.58728,-1.30896,-0.706787,1.01367,-0.0891113,0.991333,-0.00646973,0.017334,-0.0045166,0.0174561,-0.117554,0.0872803,0.134644,-0.0649414,0.130127,-0.0474854,0.908813
0.28,-0.40296,0.147463,0.255497,0.612849,-0.495159,-0.11769,-0.548549,-0.958115,1.50666,-0.253458,1.24779,-0.994337,0.359391,0.752636,-1.11203,0.940989,0.416992,0,0.628784,-0.0509033,0.537964,-1.37195,-0.661377,1.09473,-0.0325928,1.04382,-0.00268555,0.00524902,0.0231934,0.00354004,-0.102783,-0.0355225,0.10498,0.0596924,0.128174,0.0632324,0.908569
0.282,-0.28704,-0.0993601,0.3864,0.594191,-0.189452,-0.404739,-0.506731,-0.955656,1.46239,-0.880901,1.28147,-0.40057,-0.28671,1.09202,-0.805309,0.943857,0.400269,0,0.60022,-0.0310059,0.466064,-1.40137,-0.587769,1.1438,0.0124512,1.11279,0.00012207,-0.00170898,0.026001,-0.0311279,-0.0429688,-0.0656738,0.026001,0.0780029,0.052002,0.046875,0.908325
0.284,-0.0504686,-0.311486,0.361955,0.381057,0.230357,-0.611414,-0.429246,-0.960575,1.38982,-1.20703,0.870266,0.336763,-0.825972,1.10062,-0.274651,0.944676,0.407959,0,0.63208,-0.0787354,0.359863,-1.40735,-0.484253,1.17236,0.147827,1.09363,0.000854492,-0.020874,-0.0195313,-0.0251465,0.0133057,-0.0625,-0.0380859,0.0645752,-0.0576172,0.0394287,0.908081
0.286,0.18768,-0.399806,0.212126,0.0509512,0.474348,-0.525299,-0.334541,-0.985174,1.31971,-1.13081,0.182561,0.948253,-1.07986,0.656909,0.422954,0.944676,0.395508,0,0.587036,-0.0274658,0.377808,-1.35669,-0.477783,1.14709,0.109253,1.11963,-0.00817871,-0.00744629,0.0106201,0.0227051,0.036377,-0.0224609,-0.0362549,0.0134277,-0.0256348,0.0361328,0.907959
0.288,0.361955,-0.32568,-0.0362743,-0.33513,0.580556,-0.245427,-0.225077,-0.991324,1.2164,-0.62567,-0.521096,1.14677,-0.960799,0.0594601,0.901339,0.942628,0.403687,0,0.589478,-0.0671387,0.288452,-1.31787,-0.406982,1.11914,0.182495,1.052,0.00500488,0.00476074,0.0235596,-0.00170898,0.0422363,0.0274658,-0.0513916,-0.0465088,-0.027832,-0.0482178,0.907837
0.29,0.399018,-0.125383,-0.273635,-0.581274,0.471478,0.109796,-0.0799454,-1.01469,1.09464,0.0779872,-0.955343,0.877356,-0.503287,-0.483865,0.987152,0.941808,0.414429,0,0.59436,-0.0723877,0.328003,-1.28174,-0.4198,1.06262,0.174561,0.990234,0.00927734,0.0113525,0.0229492,0.00708008,0.0300293,0.067749,0.00134277,-0.0782471,0.024292,-0.071167,0.907837
0.292,0.284675,0.122229,-0.406903,-0.561898,0.155724,0.406174,0.127913,-1.12293,0.995013,0.795824,-1.01029,0.214465,0.233926,-0.854565,0.620639,0.938121,0.404419,0,0.587036,-0.0430908,0.418823,-1.26904,-0.473145,1.04858,0.113892,1.00549,0.0102539,0.00646973,0.00793457,-0.0181885,-0.0625,0.135254,0.0567627,-0.113037,0.0646973,-0.131226,0.907837
0.294,0.0457372,0.333566,-0.379303,-0.345176,-0.261932,0.607108,0.264435,-1.1672,0.902769,1.0227,-0.537048,-0.485648,0.677519,-0.79898,0.121461,0.934025,0.418335,0,0.621826,-0.0703125,0.44458,-1.18433,-0.513916,0.947021,0.10791,0.876709,0.00134277,-0.00683594,-0.0336914,-0.0267334,-0.0854492,0.00537109,0.0870361,0.00805664,0.0533447,-0.0186768,0.907959
0.296,-0.197143,0.414789,-0.217646,-0.011482,-0.503771,0.515253,0.376359,-1.24715,0.87079,0.848997,0.159519,-1.00852,0.837515,-0.344251,-0.493263,0.929928,0.411987,0,0.584961,-0.019043,0.48645,-1.1438,-0.582153,0.907471,0.00280762,0.888428,-0.00622559,0.00109863,-0.0032959,0.0126953,-0.0786133,0.0169678,0.0656738,0.03125,0.0623779,0.0439453,0.907959
0.298,-0.365897,0.339875,0.0260229,0.373881,-0.607826,0.233945,0.453844,-1.33078,0.87694,0.331446,0.804686,-1.13613,0.705327,0.19686,-0.902187,0.924193,0.411011,0,0.603882,-0.0379639,0.512573,-1.19568,-0.577637,0.950195,0.0262451,0.912231,-0.00549316,0.00769043,0.019165,-0.0115967,-0.0300293,-0.0529785,0.0270996,0.0723877,0.0462646,0.060791,0.908081
0.3,-0.40296,0.138,0.26496,0.639401,-0.493006,-0.146395,0.516571,-1.36522,0.848652,-0.391708,1.15563,-0.76392,0.247693,0.662622,-0.910315,0.919277,0.419922,0,0.632813,-0.0488281,0.575195,-1.21399,-0.654785,0.942017,-0.0219727,0.893188,0.000366211,0.0100098,0.0406494,0.0057373,0.00256348,-0.0333252,-0.0065918,0.0328369,0.0340576,0.0385742,0.907959
0.302,-0.287829,-0.108034,0.395863,0.599932,-0.159312,-0.44062,0.584217,-1.47838,0.894159,-1.0351,1.1769,-0.141795,-0.435171,1.01759,-0.582415,0.916409,0.403076,0,0.623047,-0.0106201,0.540649,-1.29944,-0.639526,1.02869,-0.0164795,1.01807,0.0057373,0.00170898,0.020752,-0.0231934,0.0891113,-0.00256348,-0.0838623,-0.00952148,-0.0631104,-0.0327148,0.907715
0.304,-0.0536229,-0.319372,0.372995,0.378904,0.269826,-0.64873,0.632184,-1.4833,0.851112,-1.28679,0.673526,0.613263,-0.907884,0.943352,-0.0354675,0.913132,0.411987,0,0.657227,-0.0562744,0.535645,-1.32825,-0.639526,1.05981,0.0177002,1.00354,0.0012207,-0.0136719,-0.0284424,-0.0148926,0.0505371,0.00219727,-0.0421143,-0.0167236,-0.0705566,-0.0316162,0.907593
0.306,0.190834,-0.406903,0.216069,0.0279873,0.511665,-0.539652,0.655553,-1.48453,0.828973,-1.1379,0.00886218,1.12904,-1.10992,0.520527,0.58939,0.909855,0.405884,0,0.613525,-0.0098877,0.515259,-1.35046,-0.627075,1.08887,-0.0135498,1.07898,-0.00292969,-0.00415039,0.00549316,0.0299072,0.017334,0.0633545,-0.000732422,-0.0651855,0.00476074,-0.0352783,0.907349
0.308,0.36432,-0.337509,-0.0268115,-0.356658,0.605673,-0.249015,0.665392,-1.48207,0.816674,-0.636305,-0.69125,1.32755,-0.992963,-0.085577,1.07854,0.910674,0.40564,0,0.617676,-0.0322266,0.444336,-1.38354,-0.536865,1.15308,0.0808105,1.12085,-0.00195313,0.00219727,0.0126953,0.00805664,-0.0107422,0.0648193,0.0532227,-0.0380859,0.065918,-0.0300293,0.907104
0.31,0.406903,-0.137212,-0.269692,-0.60352,0.481524,0.121996,0.680151,-1.40581,0.725659,0.125843,-1.13613,1.01029,-0.477677,-0.654607,1.13228,0.911084,0.420532,0,0.621094,-0.0507813,0.420166,-1.3678,-0.537964,1.1416,0.0831299,1.09082,0.00744629,0.010498,0.0185547,0.00427246,-0.0527344,0.0427246,0.0653076,-0.0296631,0.0838623,-0.0253906,0.906982
0.312,0.289406,0.108823,-0.398229,-0.571227,0.148548,0.422679,0.734268,-1.35415,0.619885,0.785189,-1.18221,0.397026,0.213962,-1.03367,0.819705,0.911903,0.404663,0,0.605713,-0.0231934,0.381104,-1.36475,-0.482422,1.14648,0.123291,1.12329,0.00952148,-0.000488281,0.00317383,-0.0256348,-0.0526123,0.00891113,0.0423584,0.0130615,0.0455322,-0.0125732,0.906982
0.314,0.0630858,0.319372,-0.382457,-0.353788,-0.274132,0.627919,0.776086,-1.3025,0.52641,1.1255,-0.776327,-0.34917,0.771709,-1.05046,0.278749,0.910265,0.413452,0,0.63916,-0.0489502,0.35376,-1.3092,-0.457031,1.10706,0.182129,1.05811,0.00402832,-0.00695801,-0.0385742,-0.0236816,-0.0302734,-0.0355225,0.0269775,0.0422363,-0.0115967,0.0185547,0.90686
0.316,-0.184526,0.406115,-0.221589,-0.0100467,-0.520276,0.530323,0.832663,-1.22747,0.394808,0.985474,-0.0815321,-0.903942,0.975428,-0.601808,-0.37362,0.910265,0.408203,0,0.601685,0.00170898,0.390259,-1.21118,-0.491089,1.03027,0.110596,1.03198,0,-0.00134277,-0.000488281,0.0163574,0.0321045,-0.0146484,-0.0324707,0.0419922,-0.032959,0.0583496,0.90686
0.318,-0.354069,0.333566,0.0205029,0.38034,-0.619308,0.238968,0.918758,-1.22378,0.305023,0.528186,0.591994,-1.12018,0.908526,-0.0273143,-0.881211,0.906168,0.40332,0,0.622803,-0.0179443,0.364746,-1.25244,-0.431641,1.05383,0.191162,1.03589,-0.00402832,0.00964355,0.0175781,-0.00561523,0.0240479,-0.0301514,-0.0142822,0.0341797,0.0032959,0.0285645,0.90686
0.32,-0.398229,0.142732,0.255497,0.645142,-0.498747,-0.146395,0.992553,-1.17827,0.185719,-0.200285,1.02092,-0.820638,0.444857,0.522176,-0.967033,0.902891,0.410034,0,0.649536,-0.0310059,0.432373,-1.21533,-0.505371,0.998657,0.144165,0.967651,0.00512695,0.010498,0.0378418,0.00964355,0.0391846,0.0198975,-0.024292,-0.0327148,0.0135498,-0.0230713,0.90686
0.322,-0.278366,-0.108823,0.387189,0.594909,-0.148548,-0.446361,1.08603,-1.17581,0.089785,-0.824183,1.05283,-0.228644,-0.229274,0.904279,-0.675005,0.900023,0.398315,0,0.62854,-0.00256348,0.435913,-1.24304,-0.502686,1.01038,0.125854,1.00781,-0.00158691,-0.00109863,0.0151367,-0.0333252,0.0212402,0.0454102,-0.00476074,-0.0383301,0.010376,-0.0716553,0.90686
0.324,-0.0544115,-0.313852,0.368263,0.373881,0.283461,-0.657342,1.19549,-1.21394,0.018449,-1.16804,0.694795,0.47324,-0.794154,0.978256,-0.184101,0.895107,0.401489,0,0.665649,-0.0435791,0.417969,-1.27148,-0.489868,1.03296,0.175781,0.98938,-0.000610352,-0.00927734,-0.0351563,-0.0162354,0.000854492,0.0657959,0.0157471,-0.0548096,-0.0194092,-0.0710449,0.906738
0.326,0.1932,-0.406903,0.213703,0.0186582,0.524582,-0.54324,1.24715,-1.18319,-0.0639563,-1.03333,-0.0141795,1.04751,-1.01467,0.510402,0.50427,0.89142,0.402344,0,0.620361,0.00549316,0.488037,-1.26563,-0.566772,1.01965,0.0535889,1.02515,-0.00561523,-0.00866699,0.00378418,0.0313721,-0.00939941,0.0375977,0.0233154,-0.0137939,0.0270996,0.0175781,0.906494
0.328,0.36984,-0.335143,-0.0346972,-0.366705,0.615002,-0.248297,1.26806,-1.14629,-0.121763,-0.505144,-0.767465,1.27261,-0.871849,-0.152463,1.02431,0.887324,0.410767,0,0.623413,-0.0296631,0.452271,-1.36133,-0.545166,1.10474,0.0782471,1.07507,0.0032959,0.00158691,0.0100098,0.00256348,-0.0144043,-0.0244141,0.0224609,0.032959,0.0324707,0.0355225,0.90625
0.33,0.414789,-0.141154,-0.273635,-0.611414,0.475066,0.136348,1.33693,-1.06635,-0.270585,0.26941,-1.21057,0.941163,-0.342004,-0.735508,1.07751,0.886914,0.421387,0,0.634521,-0.0336914,0.509155,-1.32617,-0.60144,1.07544,0.0330811,1.04175,0.0142822,0.00708008,0.012085,0.0119629,-0.00195313,0.00817871,0,-0.00170898,0.012085,0.0102539,0.90625
0.332,0.293349,0.113554,-0.406903,-0.568357,0.133478,0.434879,1.33816,-1.03314,-0.305023,0.896853,-1.20703,0.310176,0.328496,-1.07355,0.745055,0.886914,0.412476,0,0.613037,-0.0123291,0.470825,-1.33301,-0.572876,1.08667,0.0401611,1.07434,0.00732422,-0.00158691,-0.00317383,-0.0294189,-0.012207,-0.0124512,0.00842285,0.0161133,0.00524902,-0.0133057,0.906128
0.334,0.0638743,0.320949,-0.384823,-0.350917,-0.289919,0.640837,1.34308,-0.985174,-0.35791,1.20348,-0.74974,-0.453744,0.852567,-1.03966,0.187093,0.885685,0.416138,0,0.643311,-0.036377,0.446655,-1.32068,-0.542847,1.08289,0.100464,1.04651,0.00585938,-0.00402832,-0.0430908,-0.0192871,0.0111084,-0.00915527,-0.0167236,0.00366211,-0.0598145,-0.015625,0.906006
0.336,-0.179006,0.410058,-0.231052,-0.00215287,-0.529605,0.531758,1.32586,-0.918758,-0.407107,1.06701,-0.0602628,-1.00674,1.06485,-0.589868,-0.474986,0.884866,0.408325,0,0.60498,0.0158691,0.474365,-1.27881,-0.565552,1.04932,0.0394287,1.06519,-0.00305176,0.00305176,-0.00817871,0.0187988,0.0289307,-0.00439453,-0.0219727,-0.00439453,-0.0301514,0.0144043,0.906128
0.338,-0.35328,0.334355,0.0189257,0.386081,-0.621461,0.23538,1.28036,-0.858491,-0.421866,0.565407,0.602628,-1.16804,0.951488,-0.0188325,-0.932655,0.882817,0.409302,0,0.625366,-0.00976563,0.400146,-1.29016,-0.49231,1.0708,0.133057,1.06104,-0.00170898,0.0147705,0.0113525,-0.0078125,0.0108643,0.0246582,0.0045166,-0.0274658,0.0158691,-0.0352783,0.906006
0.34,-0.396652,0.14904,0.247612,0.640837,-0.495159,-0.145677,1.31603,-0.803144,-0.512881,-0.124071,1.05814,-0.934074,0.516766,0.562985,-1.07975,0.881998,0.407959,0,0.638794,-0.0140381,0.42688,-1.27649,-0.493286,1.04993,0.145508,1.03589,0.00280762,0.00769043,0.0296631,-0.00537109,0.0113525,0.0194092,0.0159912,-0.00415039,0.0456543,-0.00952148,0.906006
0.342,-0.279155,-0.0969944,0.376149,0.591321,-0.149265,-0.442055,1.28159,-0.763787,-0.5178,-0.70543,1.09714,-0.391708,-0.114109,0.947872,-0.833764,0.881179,0.392822,0,0.625488,0.00366211,0.35022,-1.25793,-0.445313,1.0127,0.180176,1.01636,-0.00231934,-0.00549316,0.0148926,-0.0333252,0.00268555,-0.0107422,0.036377,0.0401611,0.0512695,0.00683594,0.906128
0.344,-0.0552001,-0.304389,0.359589,0.374599,0.296378,-0.670977,1.3357,-0.769936,-0.565768,-1.09182,0.806458,0.285362,-0.717222,1.10284,-0.385614,0.877901,0.397827,0,0.670166,-0.0378418,0.272949,-1.30408,-0.354248,1.07495,0.315918,1.03711,-0.000244141,-0.0155029,-0.0449219,-0.013916,0.0106201,0.0098877,-0.00842285,0.00439453,-0.0533447,-0.00952148,0.906006
0.346,0.171909,-0.3864,0.214492,0.0165053,0.526735,-0.54324,1.33078,-0.796995,-0.53379,-1.11132,0.311949,0.799369,-1.09481,0.838683,0.256129,0.876263,0.383545,0,0.618408,0.0213623,0.232544,-1.2489,-0.297363,1.01648,0.321045,1.03784,-0.00476074,-0.00231934,0.0045166,0.0349121,0.032959,0.0653076,-0.0283203,-0.0618896,-0.0238037,-0.0269775,0.905884
0.348,0.346972,-0.322526,-0.0244457,-0.366705,0.612849,-0.246144,1.34431,-0.799454,-0.544859,-0.792279,-0.326128,1.11841,-1.15898,0.286721,0.872263,0.874624,0.39209,0,0.624634,-0.0136719,0.116699,-1.30176,-0.202515,1.08875,0.422119,1.07507,0.00292969,0.00622559,0.00646973,0.00732422,-0.0317383,0.0563965,0.0332031,-0.0413818,0.0396729,-0.0340576,0.905762
0.35,0.846138,-0.361955,-0.484183,-0.668106,0.639401,0.0287049,1.134,-1.14383,0.00983951,-0.82241,-0.287135,1.10954,-1.49052,0.352267,1.13825,0.87913,0.637817,0,0.612915,0.117065,0.239868,-0.891968,-0.154907,0.62915,0.458008,0.746216,0.269409,-0.150269,0.0661621,-0.12439,-0.464722,0.144531,0.555298,-0.14624,0.62146,-0.27063,0.90564
0.352,0.636378,-0.0757029,-0.560675,-0.598497,0.267673,0.330824,0.655553,-0.713359,0.0578067,-0.350942,-0.255231,0.606173,-0.949439,0.0124423,0.936997,0.90371,0.587646,0,0.631348,0.0135498,0.026123,-1.04858,-0.022583,0.746094,0.608765,0.759644,0.141968,-0.141357,0.0100098,-0.114868,-0.47168,0.120361,0.578613,-0.104736,0.588623,-0.219604,0.905518
0.354,-0.0638743,0.588275,-0.5244,-0.343023,-0.315754,0.658777,0.610045,0.0713359,-0.681381,0.425385,-0.0141795,-0.411205,0.0823613,-0.329933,0.247572,0.918458,0.757813,0,0.703125,-0.0974121,0.0634766,-1.17944,-0.11084,0.885132,0.592285,0.78772,-0.0422363,-0.284668,-0.0725098,-0.134521,-0.674683,0.136597,0.767334,-0.130493,0.694824,-0.265015,0.905762
0.356,-0.45264,0.886355,-0.433715,-0.0897028,-0.476501,0.566204,0.800684,-0.337001,-0.463684,0.471468,-0.205603,-0.265865,0.381765,-0.682104,0.300338,0.936892,0.708984,0,0.569214,0.00463867,0.0161133,-0.635376,0.0321045,0.265137,0.601318,0.269775,-0.19458,-0.0688477,-0.0354004,0.0682373,-0.0933838,0.183838,0.0817871,-0.229614,0.0463867,-0.161377,0.905884
0.358,-0.759395,0.585121,0.174274,0.378904,-0.54324,0.164335,0.724429,-0.0910148,-0.633414,0.212692,0.21092,-0.423612,0.591597,-0.33232,-0.259277,0.955327,0.865967,0,0.644775,-0.0910645,0.00964355,-0.869751,-0.0423584,0.502319,0.602417,0.411255,0.0158691,0.0856934,0.0499268,0.0925293,0.0941162,-0.067749,-0.0908203,0.0374756,-0.0408936,0.130005,0.906128
0.36,-0.895818,0.309909,0.585909,0.609979,-0.422679,-0.187299,0.408337,-0.0282884,-0.380048,0.0141795,0.0212692,-0.0354487,0.624158,-0.40141,-0.222748,0.973762,0.805298,0,0.606323,-0.0223389,0.30481,-0.561279,-0.240356,0.149536,0.365967,0.127197,0.0780029,-0.076416,0.0361328,0.0306396,-0.105469,0.174683,0.157837,-0.201782,0.19397,-0.171143,0.906494
0.362,-0.593006,-0.276789,0.869795,0.586297,-0.0595626,-0.526735,0.218928,0.184489,-0.403417,-0.0389936,-0.202058,0.241051,0.547304,-0.26162,-0.285683,0.995883,0.891479,0,0.642578,-0.00488281,0.263672,-0.493164,-0.213623,0.024292,0.428955,0.0194092,-0.0134277,-0.0125732,-0.0201416,0.0389404,-0.131226,0.142578,0.221191,-0.138794,0.20105,-0.0998535,0.906738
0.364,-0.0362743,-0.809075,0.845349,0.345894,0.365987,-0.711881,0.242296,0.285344,-0.52764,0.0655801,-0.338535,0.272955,0.411474,0.027452,-0.438926,1.01923,0.962036,0,0.674561,0.0157471,0.248901,-0.431152,-0.182983,-0.115112,0.491577,-0.0993652,-0.065918,-0.0218506,-0.043335,0.0291748,-0.106689,0.0792236,0.149414,-0.0150146,0.106079,0.0141602,0.906982
0.366,0.536229,-0.988869,0.45264,-0.0236815,0.510229,-0.486548,0.35668,0.366519,-0.723199,0.150657,-0.418295,0.267638,0.126976,0.0919344,-0.21891,1.04504,0.965088,0,0.605469,0.0557861,0.287354,-0.521973,-0.243652,-0.0893555,0.361816,-0.0335693,-0.0268555,-0.0268555,0.0157471,0.0898438,-0.169434,0.00915527,0.153931,0.0512695,0.169678,0.141113,0.907227
0.368,0.942344,-0.764915,-0.177429,-0.302119,0.5009,-0.198781,0.488282,0.429246,-0.917528,0.281817,-0.478558,0.19674,-0.0203016,0.0223425,-0.00204095,1.06307,1.00537,0,0.544067,-0.0106201,0.308472,-0.682007,-0.323486,0.00402832,0.220581,-0.0065918,0.0233154,-0.00012207,-0.0524902,0.0396729,-0.112671,-0.142822,0.0743408,0.143066,0.0218506,0.182739,0.907104
0.37,0.966001,-0.238149,-0.727852,-0.396127,0.320777,0.0753503,0.608815,0.429246,-1.03806,0.402343,-0.446654,0.0443109,0.00621558,-0.125877,0.119661,1.07945,0.998657,0,0.487427,-0.0300293,0.339478,-0.78125,-0.376831,0.0854492,0.110596,0.0554199,0.00158691,0.000366211,-0.0805664,-0.0125732,-0.0119629,-0.149048,-0.020752,0.133423,-0.101318,0.12085,0.906982
0.372,0.605623,0.377726,-0.983349,-0.340871,0.100467,0.240403,0.650633,0.367749,-1.01838,0.464378,-0.358032,-0.106346,0.123508,-0.257565,0.134057,1.09625,0.992188,0,0.398682,-0.0474854,0.302979,-0.887695,-0.343872,0.202026,0.0548096,0.154541,0.00134277,-0.00805664,-0.00732422,-0.0529785,0.0700684,-0.0981445,-0.111572,0.0727539,-0.118896,0.0197754,0.906738
0.374,-0.125383,0.850081,-0.724698,-0.152136,-0.155724,0.30786,0.692451,0.414486,-1.10694,0.655801,-0.267638,-0.388164,0.503665,-0.423362,-0.0803036,1.06716,1.04285,0,0.362549,-0.0625,0.102661,-1.03406,-0.207764,0.443237,0.154785,0.380737,0.0270996,-0.130859,0.0291748,-0.0656738,0.0367432,0.0576172,-0.0229492,-0.146484,0.00622559,-0.212158,0.906494
